date,time,name,Ccontent,Tcontent,lon,lat
2014/1/14,35,V-V强子,如果有一天，你的情绪再也感染不了我…那就说明我已经放弃了…如果有一天，我和你不再联系，希望你不要介意，要怪就怪当初没在一起,"If one day, your emotions will not be infected with me... That means I've given up... If one day, I and you no longer contact, I hope you don't mind, to blame it is not together",-1,-1
2014/1/14,6,胡总君临天下,一个人的旅途，一个人回家！带着耳机听着歌，我就想回家了，未来我还要怎么样？会变得怎么样,"A person's journey, a person to go home! With headphones to listen to the song, I want to go home, the future I want to do? What will become",120.730533,27.9822
2014/1/14,988,橡皮泥鼻子-dd,很久没上微博了…自从有了微信，有忘了我哇？,"Long time no micro bo... Since there is a micro channel, have forgotten me?",120.670288,28.003843
2014/1/14,957,Lidadadadadadada,好天气当然要粗去逛街 蓝后没有看到喜欢的又滚回来了 还是等麻麻一起 [爱你] 不能浪费了今天的  把电脑搬到边上边听歌边洗衣服[哈哈] 诶呦 话说今年回来的好早 人家还在期末考啥的 我已经在家玩了五六天了,The weather is good of course to coarse go shopping blue did not see like and rolled back or hemp together [love] don't you waste today to move the computer to the edge of the edge of the music side wash clothes [laughs] hey yo words came back this year to early homes still have the final exam what I has at home play five or six days the,120.318422,27.676256
2014/1/14,926,陈晨czy ,天才學生寫的“檢討書”,A review book written by a gifted student,121.0384143,28.21241925
2014/1/14,897,吃馒头滴包子,慈善大宴今日开席！感谢那些为爱付出，为爱坚守十二年的人们。因为有爱，这个冬天不再冷,"The charity banquet open today! Thank those who pay for love, for love to stand for twelve years. Because there is love, this winter is no longer cold",120.639717,28.010763
2014/1/14,856,阿拉个飘飘 ,小卷毛一个中午没睡觉[哼]，嘴巴里还碎碎念，不过还是觉得他好可爱，哈哈哈，说话怎么可以这么可爱,"Small curly a noon didn't sleep [sing], mouth nagging. But I still feel he's cute, ha, ha, ha, how to speak so lovely",120.625311,27.778505
2014/1/14,829,雯麦麦-Nulife ,心声！[爱心]：很多人会误解我们，包括我们的亲人，不要纠结，做好自己就行了，总有一天他们会理解的，让时间来证明，用行动来证明！,"Voice! [love]: a lot of people will misunderstand us, including our loved ones, do not tangle, do a good job on their own, and one day they will understand, let time to prove, with action to prove!",-1,-1
2014/1/14,812,huaiyu6699,瑞祥学校附近的民工路红绿灯半个月没有。路上行人，还有车很多。太不安全了，大家要注意避让,"Road traffic light workers Ruixiang near the school for half a month without. On the road, there are a lot of people on the road. It's not safe, we should pay attention to avoid",-1,-1
2014/1/14,790,芒momo ,三年级语文啊！[钱][钱][钱]一进他们学校看到试卷，好想偷看一眼啊，可是我们是有职业道德的人啊！[偷笑]监考ing,"Grade three language! Money, money, money [a] in their school and see the papers, want to steal a look ah, but we have the occupation moral person! [laughing] the ing",120.799751,27.912947
2014/1/14,746,新城NiC辛尔创意小人国IC5班,人的意志力的发展是出自一种普遍的生命力＂本能＂这种普遍的能量不是物质的，而是在进化过程中生命本身的力量。,"Man's will power is the development of a universal life force instinct, this universal energy is not material, but in the evolution of life itself.",120.701866,28.001993
2014/1/14,721,潘家荣荣酱,希望这个冬天过去没有胖起来，希望明年夏天能瘦下来，希望瘦成一到[闪电]，希望爱我的人都幸福,"Hope that this winter has not fat up, I hope next summer can be thin down, I hope to become a lightning, I hope to love my people are happy",-1,-1
2014/1/14,691,V郑映,想要考试。不知道有没有晨晨得题目，如果有的话，我确保我能考满分哦！,"Want to test. Do not know if there is no problem if any Chenchen,, I make sure that I can test out oh!",120.673577,27.780297
2014/1/14,666,南小囧 ,我的姨妈们说我发型落实，今天好美好的一天,My aunt said my hair was a good day.,-1,-1
2014/1/14,635,郑嘉棣 ,和小精灵握手的早晨。保温箱里的他们让我感受到新生命的温暖和脆弱。,And the little elf shook hands in the morning. They let me feel the warmth and fragility of the new life.,-1,-1
2014/1/14,1218,请叫我依乐Elinar,学校的分岁酒丰盛极了，但是我现在已经喝酒喝晕了（人生第一次喝这么多酒啊）,"The school's sub - year - old wine is very rich, but I am now drinking and drinking.",120.805664,27.881454
2014/1/14,1199,Sugar_May,我在想一个问题，怀孕的时侯身材完全走形样子完全变样的孕妈们是怎么恢复到以前那样的,"I think a problem, Hou pregnant body completely zouxing looks completely different pregnant mothers is how to restore to as before",-1,-1
2014/1/14,1179,Kunda_Wu ,生活就是这样：你想双财神做牛但是它偏偏再来张财神让你三财神做卡子，有时候要学会接受突如其来的喜悦,Such is life: you want to double the God of wealth as but it happens again a god let you clip the God of wealth. Sometimes you have to learn to accept the sudden joy,120.861656,28.00866
2014/1/14,1163,SK8-钱很脏 ,Need 滑板店的电影设施,Need film facility for the skate shop,120.547095,27.591722
